Date,"Close Price","20 Day MA","50 Day MA"
2015-01-01,2454.1,2454.1,2454.1
2015-01-02,2453.5,2453.8,2453.8
2015-01-05,2460.15,2455.9166666666665,2455.9166666666665
2015-01-06,2440.35,2452.025,2452.025
2015-01-07,2447.2,2451.06,2451.06
2015-01-08,2450.05,2450.8916666666664,2450.8916666666664
2015-01-09,2381.5,2440.9785714285713,2440.9785714285713
2015-01-12,2333.25,2427.5125,2427.5125
2015-01-13,2326.25,2416.261111111111,2416.261111111111
2015-01-14,2363.65,2411,2411
2015-01-15,2417.95,2411.6318181818183,2411.6318181818183
2015-01-16,2420.05,2412.3333333333335,2412.3333333333335
2015-01-19,2411.3,2412.253846153846,2412.253846153846
2015-01-20,2411.05,2412.167857142857,2412.167857142857
2015-01-21,2442,2414.1566666666668,2414.1566666666668
2015-01-22,2438.9,2415.703125,2415.703125
2015-01-23,2442.2,2417.2617647058823,2417.2617647058823
2015-01-27,2417.55,2417.277777777778,2417.277777777778
2015-01-28,2396.9,2416.205263157895,2416.205263157895
2015-01-29,2402.7,2415.5299999999997,2415.5299999999997
2015-01-30,2389.35,2412.2925,2414.2833333333333
2015-02-02,2347.8,2407.0075,2411.2613636363635
2015-02-03,2260.1,2397.005,2404.6891304347823
2015-02-04,2247.55,2387.3650000000002,2398.141666666667
2015-02-05,2243.05,2377.1575000000003,2391.938
2015-02-06,2228.25,2366.0675,2385.642307692308
2015-02-09,2267.55,2360.3700000000003,2381.2685185185187
2015-02-10,2266.5,2357.0325000000003,2377.1696428571427
2015-02-11,2291.95,2355.3175,2374.2310344827583
2015-02-12,2260.65,2350.1675000000005,2370.4449999999997
2015-02-13,2261.75,2342.3575,2366.938709677419
2015-02-16,2261.7,2334.4399999999996,2363.6499999999996
2015-02-18,2240.65,2325.9075,2359.9227272727267
2015-02-19,2223.4,2316.5249999999996,2355.9073529411758
2015-02-20,2209.3,2304.8900000000003,2351.718571428571
2015-02-23,2184.75,2292.1825,2347.080555555555
2015-02-24,2191.95,2279.67,2342.887837837837
2015-02-25,2180.8,2267.8325000000004,2338.622368421052
2015-02-26,2134.95,2254.735,2333.399999999999
2015-02-27,2150.45,2242.1225,2328.826249999999
2015-02-28,2161.8,2230.745,2324.75243902439
2015-03-02,2074.75,2217.0925,2318.7999999999993
2015-03-03,2116.15,2209.895,2314.087209302325
2015-03-04,2122.1,2203.6225,2309.723863636363
2015-03-05,2120.35,2197.4875,2305.5155555555552
2015-03-09,2113.1,2191.73,2301.3326086956517
2015-03-10,2128.95,2184.7999999999997,2297.664893617021
2015-03-11,2099,2176.4249999999997,2293.5260416666665
2015-03-12,2077.85,2165.72,2289.124489795918
2015-03-13,2022.9,2153.8324999999995,2283.7999999999997
2015-03-16,2030.25,2142.2574999999997,2275.323
2015-03-17,2045.65,2131.455,2267.1659999999997
2015-03-18,2034.55,2121.1500000000005,2258.654
2015-03-19,2024.4,2111.2,2250.335
2015-03-20,2021.35,2101.8025000000002,2241.8179999999998
2015-03-23,2032.75,2094.2025000000003,2233.472
2015-03-24,2027.9,2086,2226.4
